sample_index,timestamp_ms,ch2_mv,packet_index
58813,117626.000,-11.396362,2352
58814,117628.000,-11.359168,2352
58815,117630.000,-11.115886,2352
58816,117632.000,-10.624362,2352
58817,117634.000,-10.240890,2352
58818,117636.000,-9.971381,2352
58819,117638.000,-9.891845,2352
58820,117640.000,-10.065652,2352
58821,117642.000,-10.602762,2352
58822,117644.000,-11.150886,2352
58823,117646.000,-11.414768,2352
58824,117648.000,-11.379911,2352
58825,117650.000,-11.144496,2353
58826,117652.000,-10.662557,2353
58827,117654.000,-10.282661,2353
58828,117656.000,-10.016490,2353
58829,117658.000,-9.938241,2353
58830,117660.000,-10.113765,2353
58831,117662.000,-10.657121,2353
58832,117664.000,-11.203243,2353
58833,117666.000,-11.457731,2353
58834,117668.000,-11.405279,2353
58835,117670.000,-11.170102,2353
58836,117672.000,-10.697414,2353
58837,117674.000,-10.327054,2353
58838,117676.000,-10.059215,2353
58839,117678.000,-9.975482,2353
58840,117680.000,-10.144330,2353
58841,117682.000,-10.671092,2353
58842,117684.000,-11.196853,2353
58843,117686.000,-11.444665,2353
58844,117688.000,-11.400987,2353
58845,117690.000,-11.148263,2353
58846,117692.000,-10.638524,2353
58847,117694.000,-10.246040,2353
58848,117696.000,-9.971906,2353
58849,117698.000,-9.892513,2353
58850,117700.000,-10.069085,2354
58851,117702.000,-10.606719,2354
58852,117704.000,-11.149408,2354
58853,117706.000,-11.414482,2354
58854,117708.000,-11.376573,2354
58855,117710.000,-11.117269,2354
58856,117712.000,-10.625602,2354
58857,117714.000,-10.250665,2354
58858,117716.000,-9.982110,2354
58859,117718.000,-9.906770,2354
58860,117720.000,-10.086061,2354
58861,117722.000,-10.630132,2354
58862,117724.000,-11.167814,2354
58863,117726.000,-11.433746,2354
58864,117728.000,-11.418821,2354
58865,117730.000,-11.172487,2354
58866,117732.000,-10.663320,2354
58867,117734.000,-10.287715,2354
58868,117736.000,-10.031034,2354
58869,117738.000,-9.960271,2354
58870,117740.000,-10.143806,2354
58871,117742.000,-10.692645,2354
58872,117744.000,-11.222364,2354
58873,117746.000,-11.462690,2354
58874,117748.000,-11.405803,2354
58875,117750.000,-11.155893,2355
58876,117752.000,-10.659362,2355
58877,117754.000,-10.280372,2355
58878,117756.000,-10.011007,2355
58879,117758.000,-9.929229,2355
58880,117760.000,-10.105468,2355
58881,117762.000,-10.652877,2355
58882,117764.000,-11.190511,2355
58883,117766.000,-11.446382,2355
58884,117768.000,-11.405279,2355
